Timestamp,Are you eating food past their expiration dates more or less often since pandemic?,What do you think are the main reasons that food get wasted in your household?(select all that apply),Select the option which best reflects what is happening in your household since the start of pandemic?,What are you doing differently since start of pandemic? (select all apply),Ward
2021/06/09 12:15:01 PM CDT,More often,We do not waste any food in our household,We are wasting less food in amount but not overall percentage,"I am eating leftovers more often;I look in my fridge and pantries more often;To prevent molds, I wait and wash until I am ready to eat",
2021/06/09 12:17:09 PM CDT,About the same,Food goes bad before 'best before' date;We don't check freezer/fridge before shopping;We do not know how to store food properly,We are wasting more food in amount,I have not change anything,
2021/06/09 12:47:28 PM CDT,About the same,Food left in the fridge or freezer too long;We generally get too busy to cook meal;We do not know how to store food properly,"We are wasting less food, in amount and overall percentage",I look in my fridge and pantries more often,
2021/06/09 12:47:50 PM CDT,About the same,Some household members do not finish their meals,"We are wasting less food, in amount and overall percentage",I am eating leftovers more often;I am planning meals before shopping,
2021/06/09 12:52:28 PM CDT,More often,Food left in the fridge or freezer too long;We generally get too busy to cook meal;We don't check freezer/fridge before shopping,We are wasting less food in amount but not overall percentage,I look in my fridge and pantries more often,
2021/06/09 12:56:05 PM CDT,About the same,Food left in the fridge or freezer too long;Food goes bad before 'best before' date,"We are wasting less food, in amount and overall percentage",I have not change anything,
2021/06/09 12:59:23 PM CDT,About the same,Food left in the fridge or freezer too long;We don't check freezer/fridge before shopping,"We are wasting less food, in amount and overall percentage",I look in my fridge and pantries more often;I am planning meals before shopping,
2021/06/09 1:01:17 PM CDT,I never eat food past their expiration dates,Food goes bad before 'best before' date,We are wasting less food in amount but not overall percentage,I have not change anything,
2021/06/09 1:03:21 PM CDT,About the same,Food left in the fridge or freezer too long,"We are wasting less food, in amount and overall percentage",I am planning meals before shopping,
2021/06/09 1:04:38 PM CDT,About the same,Food left in the fridge or freezer too long,"We are wasting less food, in amount and overall percentage",I look in my fridge and pantries more often;I am planning meals before shopping,
2021/06/09 1:05:19 PM CDT,About the same,Food left in the fridge or freezer too long;Some household members do not finish their meals,"We are wasting less food, in amount and overall percentage",I am eating leftovers more often;I am planning meals before shopping,
2021/06/09 1:17:42 PM CDT,I never eat food past their expiration dates,Food plans changes more often;We cook too much,"We are wasting less food, in amount and overall percentage",I have not change anything,
2021/06/09 1:38:24 PM CDT,About the same,Food left in the fridge or freezer too long;We cook too much,"We are wasting less food, in amount and overall percentage",I look in my fridge and pantries more often;I am planning meals before shopping,
2021/06/09 1:46:37 PM CDT,About the same,Food goes bad before 'best before' date,"We are wasting less food, in amount and overall percentage",I am eating leftovers more often;I look in my fridge and pantries more often,
2021/06/09 1:55:04 PM CDT,I never eat food past their expiration dates,We like to eat food freshest food possible;We cook too much,,"I am eating leftovers more often;To prevent molds, I wait and wash until I am ready to eat",
2021/06/09 2:28:34 PM CDT,About the same,Food left in the fridge or freezer too long,We are wasting less food in amount but not overall percentage,I look in my fridge and pantries more often;I am using more produce,
2021/06/09 2:49:13 PM CDT,I never eat food past their expiration dates,We cook too much;We do not know how to store food properly,"We are wasting less food, in amount and overall percentage",I am using more produce;I have not change anything,
2021/06/09 2:50:59 PM CDT,More often,Some household members do not finish their meals;We like to eat food freshest food possible;We generally get too busy to cook meal,"We are wasting less food, in amount and overall percentage",I am eating leftovers more often,
2021/06/09 2:53:56 PM CDT,About the same,Food left in the fridge or freezer too long;We don't check freezer/fridge before shopping,"We are wasting less food, in amount and overall percentage",I look in my fridge and pantries more often;I am planning meals before shopping,
2021/06/09 2:58:51 PM CDT,About the same,Food left in the fridge or freezer too long,,I have not change anything,
2021/06/09 3:00:38 PM CDT,More often,Food left in the fridge or freezer too long;We generally get too busy to cook meal,We are wasting less food in amount but not overall percentage,"I am eating leftovers more often;I look in my fridge and pantries more often;I am planning meals before shopping;To prevent molds, I wait and wash until I am ready to eat",
2021/06/09 3:00:41 PM CDT,I never eat food past their expiration dates,We don't check freezer/fridge before shopping;We do not know how to store food properly,We are wasting more food in amount,I am using more produce;I have not change anything,
2021/06/09 3:07:46 PM CDT,About the same,Food left in the fridge or freezer too long;Food goes bad before 'best before' date,"We are wasting less food, in amount and overall percentage",I have not change anything,
2021/06/09 3:14:48 PM CDT,More often,Food left in the fridge or freezer too long;We don't check freezer/fridge before shopping,"We are wasting less food, in amount and overall percentage",I am eating leftovers more often;I look in my fridge and pantries more often,
2021/06/09 3:16:39 PM CDT,About the same,Food left in the fridge or freezer too long;We don't check freezer/fridge before shopping,"We are wasting less food, in amount and overall percentage",I look in my fridge and pantries more often,
2021/06/09 3:17:25 PM CDT,I never eat food past their expiration dates,Food left in the fridge or freezer too long;Some household members do not finish their meals,"We are wasting less food, in amount and overall percentage","I am eating leftovers more often;I look in my fridge and pantries more often;I am planning meals before shopping;To prevent molds, I wait and wash until I am ready to eat",
2021/06/09 3:22:59 PM CDT,I never eat food past their expiration dates,Food left in the fridge or freezer too long,We are wasting more food in amount,I have not change anything,
2021/06/09 3:23:42 PM CDT,About the same,Food left in the fridge or freezer too long;Food goes bad before 'best before' date;We cook too much;We don't check freezer/fridge before shopping,We are wasting less food in amount but not overall percentage,I am eating leftovers more often;I look in my fridge and pantries more often,
2021/06/09 3:24:08 PM CDT,About the same,Food left in the fridge or freezer too long,"We are wasting less food, in amount and overall percentage",I look in my fridge and pantries more often,
2021/06/09 3:25:23 PM CDT,I never eat food past their expiration dates,Food left in the fridge or freezer too long;Some household members do not finish their meals;Food goes bad before 'best before' date,"We are wasting less food, in amount and overall percentage",I am eating leftovers more often;I look in my fridge and pantries more often;I am planning meals before shopping;I am using more produce,
2021/06/09 3:37:07 PM CDT,More often,Food left in the fridge or freezer too long,"We are wasting less food, in amount and overall percentage",I am eating leftovers more often;I look in my fridge and pantries more often;I am planning meals before shopping;I am using more produce,
2021/06/09 3:38:01 PM CDT,About the same,Food left in the fridge or freezer too long,"We are wasting less food, in amount and overall percentage",I am eating leftovers more often;I have not change anything,
